"Kati Ernst","Co-CEO and Co-Founder","ooshi"
"Marcus Swanepoel","Co-Founder & CEO","Luno"
"Martin Vares","CEO & Co-Founder","Fractory"
"Johannes Plehn","Founder & MD","Seven Senders"
"Alexander Artopé","CEO","smava"
"Ron Atzmon","Managing Director","AU10TIX"
"Fabrice Grinda","Founding Partner","FJ Labs"
"Karen Stafford","Investment Director","Intel Capital"
"Alexander Argyros","Founder","Moonfare"
"Jeppe Høier","Partner","Maersk Growth"
"Mathias Doepfner","CEO","Axel Springer"
"Inigo Juantegui","Co-Founder & CEO","Ontruck"
"Gerald Kullack","Founder & CEO","Lillydoo"
"Benny Bennet Jürgens","Founder & CEO","Nect GmbH"
"Ferdinand Metzler","CEO","Fision AG"
"Lilli Seyther-Besecke","Enterprise Sales Manager","GitHub"
"Eugen Gross","CEO & Co-Founder","aiconix"
"Galina Chifina","Partner","RTP Global"
"Dirk Hoke","CEO Defence & Space","Airbus Group"
"Rafael Laguna","CEO","Open-XChange"
"Alexander Schlomberg","Co-Founder & MD","expertlead"
"Marco Beicht","Founder & CEO","powercloud"
"Anna Polishchuk","Co-Founder","Lalafo"
"Christian Rasche","Chief Information & Digital Officer","Coca-Cola European Partners"
"Max von Bismarck","Chief Business Officer & Managing Director","Deposit Solutions"
"Eugene Danilkis","CEO","Mambu"
"Tamaz Georgadze","CEO","Raisin"
"Andrei Brasoveanu","Partner","Accel Partners"
"Tobias Gebhardt","CEO","GWA Hygiene"
"Alastair MacLeod","CEO","Teralytics"
"Philipp Pausder","Co-Founder & CEO","Thermondo"
"Ben O'Donnell","CTO","BIMobject"
"Thomas Plantenga","CEO","Vinted"
"Clemens Weidenbach","CFO","Jimdo"
"Vanessa Gstettenbauer","Principal","btov Partners"
"Omer Kucukdere","CEO","Nestpick"
"Anna Halmer","Deputy General Counsel","Delivery Hero"
"Juan Urdiales","Co-founder & Co-CEO","Jobandtalent"
"Maximilian Stella","VP New Ventures","SumUp"
"Ossi Lindroos","SVP International Business","Solita"
"Niklas Kouparanis","Founder & CEO","Farmako"
"Ben Brandt","CEO & Co-founder","Ledgy"
"Dennis Gneuss","Chief Digital Officer","Movinga"
"Sergio Chalbaud","Co-Founder & CEO","Fintonic"
"Nikolas Schriefer","CEO","Stagelink"
"Daniel Koehler","Co-Founder","Weddyplace"
"Fabian Thylmann","Special Advisor","Cannamedical Pharma"
"Krishna Chandran","Deputy MD Lending","solarisBank"
"Scott Arpajian","CEO","Softonic"
"Hans-Holger Albrecht","CEO","Deezer"
"Michal Borkowski","CEO","Brainly"
"Alexandra Chong","CEO","Jacana"
"Michael Moss","CEO","PromoMii"
"Mandeep Singh","Co-Founder","Trouva"
"Alexander Limpert","Co-Founder and CEO","GuestReady"
"Pierre Sabrowski","Co-Founder & CEO","dive solutions"
"Elmar Broscheit","Managing Director","Macquarie Capital"
"Julius Hansen","Project Lead","Dgroup"
